F1,F2,F2,T,X
0.76208,0.44325,0.44325,77.48012,0.584291
0.56884,0.84898,0.84898,73.33052,0.756705
0.9823,0.59851,0.59851,69.40707,0.766284
1.0112,0.35131,0.35131,65.0848,1.044061
1.1879,0.35593,0.35593,62.4335,0.938697
1.1991,0.30824,0.30824,58.89163,1.235632
1.1672,0.45703,0.45703,55.46425,1.398467
1.343,0.37237,0.37237,52.96088,1.743295
0.66678,0.8026,0.8026,50.14497,1.90613
0.6933,1.0977,1.0977,47.18006,2.222222
1.70366,1.41,1.41,44.09783,3.247126
1.7375,0.51283,0.51283,34.20332,4.272031
1.7811,0.4946,0.4946,31.16297,4.530651
2.5224,0.60566,0.60566,28.30624,5.239464
1.8248,0.32136,0.32136,25.29567,5.268199
1.9062,0.33727,0.33727,22.63814,5.363985
2.5015,0.30017,0.30017,20.24781,5.536398
1.8365,0.37931,0.37931,17.86614,5.881226
1.8617,0.16901,0.16901,15.9273,5.737548
1.8766,1.4922,1.4922,13.86623,6.034483
